StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
DL008,2018-06-14,203.41,976.77,10.42,26.66,22.26,9.34,0.36,7.97,7.42,0.79,,,910.0,Severe
DL027,2020-04-01,25.15,59.05,2.22,6.48,8.69,92.45,0.51,7.49,22.08,0.18,1.36,,61.0,Satisfactory
DL013,2016-05-13,121.06,,25.99,40.56,42.4,29.84,,10.9,,,,,277.0,Poor
DL013,2015-05-24,48.25,,8.74,14.92,21.78,59.52,7.15,11.71,,,,,231.0,Poor
BR006,2020-03-05,158.2,177.5,4.68,7.67,12.35,15.43,0.99,4.7,6.5,0.0,0.0,0.0,341.0,Very Poor
DL033,2018-09-13,34.25,,5.07,28.98,19.46,,0.18,7.17,20.22,1.53,5.62,,62.0,Satisfactory
RJ005,2020-06-13,64.57,135.1,3.61,14.82,9.61,20.47,0.75,7.73,76.35,0.0,0.0,,124.0,Moderate
AP001,2018-03-01,38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11,100.0,Satisfactory
DL009,2018-03-09,42.61,252.42,72.2,170.86,100.8,41.44,2.26,39.94,86.57,3.71,1.72,,232.0,Poor
DL019,2019-02-22,74.88,159.88,16.65,30.72,29.91,25.59,0.85,6.65,8.39,1.73,7.28,1.01,161.0,Moderate
CH001,2019-10-08,43.67,104.59,10.14,4.64,10.57,5.99,0.61,12.42,13.96,4.7,0.92,1.96,106.0,Moderate
DL021,2018-06-19,70.48,,6.1,19.01,14.99,,0.38,7.07,61.1,1.26,2.23,,126.0,Moderate
TN003,2016-05-20,58.62,,3.54,17.99,14.86,132.0,1.1,2.64,,,,,102.0,Moderate
UP012,2019-06-26,54.94,,10.76,17.4,17.86,,1.2,1.58,32.28,0.67,2.93,,96.0,Satisfactory
WB008,2020-06-22,16.87,37.81,4.05,4.92,8.97,20.12,0.27,8.98,30.6,,,,49.0,Good
MH005,2019-05-21,14.62,69.48,25.94,14.59,39.98,,1.79,11.05,15.14,0.19,,,92.0,Satisfactory
DL011,2019-07-12,,,26.52,32.35,,,,3.48,13.01,3.02,25.85,,,
DL002,2016-12-17,275.25,580.99,374.71,137.16,,112.42,3.84,22.68,11.12,16.63,34.88,,631.0,Severe
KL008,2018-10-19,12.9,30.94,2.98,4.3,4.48,3.14,0.97,6.48,7.44,,,,54.0,Satisfactory
UP014,2017-09-20,41.24,,12.64,29.19,,,1.33,3.94,28.26,2.4,2.82,,58.0,Satisfactory
TG004,2018-12-30,71.49,152.94,24.36,58.48,45.93,1.28,0.75,40.3,40.79,13.27,138.35,6.03,137.0,Moderate
DL025,2018-01-06,282.92,451.97,,,0.0,,0.0,,22.2,0.14,0.21,1.69,505.0,Severe
WB008,2020-06-30,13.67,26.92,2.48,5.94,8.42,12.55,0.25,3.19,28.03,2.07,9.8,0.0,50.0,Good
DL034,2017-07-03,46.71,,28.86,20.06,30.78,32.02,,,,,,,49.0,Good
DL013,2019-07-18,57.9,,11.03,31.69,25.42,31.25,0.71,6.06,,,,,106.0,Moderate
DL021,2016-04-19,119.66,,10.47,23.58,21.32,,1.34,4.46,50.2,1.47,3.93,,308.0,Very Poor
TG005,2020-06-20,21.84,,4.38,17.2,12.64,,0.42,7.3,17.71,0.37,1.45,0.02,42.0,Good
DL030,2018-01-17,133.05,241.42,13.49,6.51,2.51,,4.42,,39.28,0.0,0.0,0.0,269.0,Poor
DL034,2018-08-14,40.02,161.98,23.18,64.1,85.48,176.83,5.72,2.68,37.81,0.0,0.0,,178.0,Moderate
MH006,2020-02-10,50.2,99.6,2.69,11.9,14.6,5.4,0.36,4.79,61.55,0.07,,,109.0,Moderate
TG006,2019-05-07,63.16,157.83,14.75,60.26,43.99,20.92,1.61,6.32,58.07,5.74,44.85,5.19,,
BR008,2020-04-13,44.06,129.0,2.27,14.0,16.28,,0.58,5.03,28.32,2.94,0.08,0.43,134.0,Moderate
DL003,2018-09-29,76.56,222.21,33.72,67.02,62.91,29.56,0.34,18.61,46.48,7.83,77.09,,198.0,Moderate
DL003,2018-08-15,38.52,123.54,7.06,12.51,12.4,24.42,0.68,16.82,41.21,1.65,13.36,,133.0,Moderate
DL003,2020-03-14,54.65,72.0,7.59,30.37,22.35,26.11,0.59,13.99,20.47,2.02,15.82,,118.0,Moderate
TN005,2020-04-13,33.51,36.69,1.07,77.9,78.96,,0.65,6.33,23.33,0.0,0.06,,94.0,Satisfactory
KA003,2017-07-25,6.6,,5.43,26.59,,,,4.37,50.04,0.55,0.5,,47.0,Good
DL021,2016-01-16,175.97,,4.26,14.16,11.2,,1.16,5.24,13.55,3.51,5.7,,352.0,Very Poor
KA011,2020-05-05,30.83,83.54,1.18,5.52,3.9,4.04,0.62,1.45,42.07,0.12,0.88,,82.0,Satisfactory
PB001,2018-05-21,74.3,134.46,12.55,8.61,21.15,4.99,0.61,5.77,38.82,0.76,2.76,5.8,127.0,Moderate
BR007,2016-09-09,48.54,,18.13,17.66,35.79,,1.24,11.43,12.1,0.15,0.8,0.32,135.0,Moderate
MH006,2020-02-02,49.94,105.9,3.87,1.79,5.34,11.85,0.47,4.26,5.32,0.29,,,104.0,Moderate
BR007,2015-11-12,214.09,,39.6,26.9,66.24,,1.54,8.19,9.32,0.36,1.82,0.67,385.0,Very Poor
DL028,2015-09-04,85.13,85.13,17.66,47.51,66.29,17.33,1.18,9.16,225.66,1.14,4.72,,310.0,Very Poor
DL002,2016-07-20,78.99,625.56,123.0,64.68,225.57,69.02,2.35,10.59,20.89,7.23,21.54,,587.0,Severe
JH001,2017-05-21,,130.72,7.82,8.66,,,0.29,52.08,37.25,,,,105.0,Moderate
DL034,2020-01-14,116.14,167.93,11.15,43.78,32.04,22.01,0.95,8.68,26.38,6.3,39.91,,331.0,Very Poor
KA005,2019-12-19,,101.77,14.11,49.25,63.37,,1.8,10.13,,,,,106.0,Moderate
WB013,2020-02-05,107.4,218.24,53.18,80.35,133.27,26.81,0.44,25.34,67.07,15.59,20.05,,250.0,Poor
OD001,2019-06-07,26.6,77.51,15.62,16.16,27.33,36.09,2.92,6.7,14.34,0.0,,,115.0,Moderate
UP016,2018-07-04,23.51,,20.54,47.36,41.62,38.86,0.59,8.62,,,,,61.0,Satisfactory
KA006,2020-03-08,34.29,87.83,,8.21,,3.49,0.5,9.65,48.32,0.25,,,102.0,Moderate
DL025,2019-09-27,11.02,39.17,6.24,7.59,13.8,,1.07,,38.96,0.0,0.0,0.0,92.0,Satisfactory
DL014,2018-04-17,68.92,214.72,115.93,207.92,195.61,58.73,,,,,,,292.0,Poor
KA005,2017-08-30,,90.87,23.4,31.41,,,1.28,7.04,,,,,94.0,Satisfactory
ML001,2020-03-16,23.18,42.06,0.86,2.53,1.04,2.57,0.21,5.4,36.23,281.93,281.84,,65.0,Satisfactory
WB009,2019-09-11,22.54,38.71,3.37,18.43,21.81,12.05,0.4,6.25,16.06,0.48,1.04,1.62,64.0,Satisfactory
DL031,2016-07-10,38.24,79.51,7.98,44.38,50.45,27.85,0.89,9.16,63.23,0.97,3.7,,80.0,Satisfactory
DL013,2019-04-21,118.77,,26.62,53.33,49.22,39.61,1.64,30.91,,,,,255.0,Poor
HR011,2020-03-14,42.94,94.06,7.51,12.73,20.24,,1.44,,32.28,,,,119.0,Moderate
DL007,2019-12-13,78.9,116.58,,,0.0,,0.43,,11.15,,,,282.0,Poor
DL029,2018-09-19,51.35,122.58,73.55,68.34,96.29,34.54,1.37,12.2,25.24,3.04,62.05,,126.0,Moderate
KA009,2015-02-23,,,9.44,11.53,11.96,15.44,13.56,41.16,,,13.56,,,
DL027,2019-12-29,344.38,531.21,17.07,22.91,39.98,6.53,1.65,1.38,10.98,1.71,4.45,,488.0,Severe
DL033,2020-05-27,43.28,,7.72,25.22,19.59,,0.7,7.23,62.26,0.41,2.84,,106.0,Moderate
AP001,2019-04-18,20.21,57.8,2.65,13.78,9.52,6.54,0.51,10.6,26.51,0.16,3.11,0.14,79.0,Satisfactory
OD002,2020-04-27,,21.56,7.03,20.77,26.6,3.19,2.07,,59.9,0.0,,,108.0,Moderate
RJ004,2017-10-19,50.75,178.12,8.84,33.55,,24.28,0.84,17.42,73.4,5.83,10.9,,158.0,Moderate
DL038,2019-10-22,119.64,288.66,39.58,50.17,58.94,26.49,1.33,18.32,25.55,6.71,88.16,,298.0,Poor
DL015,2019-02-22,99.96,199.79,23.89,38.99,40.53,54.09,1.57,16.46,26.5,4.75,35.13,,242.0,Poor
GJ001,2019-05-24,46.79,148.0,14.31,93.27,61.82,,14.31,131.04,56.31,15.21,82.4,11.95,344.0,Very Poor
DL020,2019-02-09,106.25,335.65,18.27,41.81,37.07,31.52,0.6,30.7,31.59,1.92,53.49,,262.0,Poor
DL032,2018-02-24,204.9,471.21,18.65,52.28,62.92,95.35,1.38,19.44,40.55,,,,436.0,Severe
AP005,2019-12-25,81.26,,9.55,42.48,30.37,9.64,1.26,7.8,75.76,6.87,11.71,2.95,224.0,Poor
DL019,2019-05-02,119.23,324.9,11.06,58.37,39.99,35.65,0.8,9.51,20.63,1.84,5.18,0.31,300.0,Poor
RJ004,2018-11-14,42.73,109.1,8.29,22.71,31.0,21.23,0.93,8.96,62.55,1.24,,,132.0,Moderate
DL015,2018-03-20,156.42,358.65,40.92,93.56,121.23,51.85,1.64,31.14,10.0,1.9,8.72,,318.0,Very Poor
BR007,2019-11-12,158.7,,67.77,121.62,72.61,,1.99,62.22,90.88,9.3,31.95,35.88,309.0,Very Poor
GJ001,2015-07-31,40.95,,6.92,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44,174.0,Moderate
RJ006,2018-08-20,9.41,51.59,7.21,8.2,15.23,6.17,0.56,10.04,7.68,1.02,23.91,,55.0,Satisfactory
GJ001,2015-08-18,36.38,,7.31,20.14,27.45,,7.31,10.65,13.35,2.0,4.33,0.35,177.0,Moderate
TN005,2020-06-12,13.03,19.84,,46.65,28.51,1.37,0.49,6.8,12.38,0.0,0.0,,32.0,Good
UP013,2019-11-26,160.71,,45.77,79.2,79.33,,0.48,20.89,43.66,8.69,18.97,,,
KA009,2019-02-06,39.26,,3.76,21.19,24.95,27.56,0.87,4.37,,,0.87,,66.0,Satisfactory
DL006,2019-02-02,143.42,218.9,6.1,17.44,23.54,,0.86,,13.47,,,,321.0,Very Poor
DL004,2018-09-23,28.89,45.05,6.49,23.41,29.91,,0.0,,29.54,,,,45.0,Good
KA008,2019-10-16,20.21,68.54,28.32,44.03,46.46,11.27,0.71,3.2,25.68,0.52,3.91,,88.0,Satisfactory
KA002,2018-06-28,4.52,,10.8,30.66,21.52,,1.08,6.29,17.42,0.26,0.42,,76.0,Satisfactory
DL010,2019-10-24,168.14,469.81,181.04,93.79,197.38,39.05,3.78,20.34,29.24,11.84,83.94,,368.0,Very Poor
DL005,2020-03-27,42.3,63.97,1.29,15.43,9.28,22.63,0.39,,26.46,,,,97.0,Satisfactory
WB010,2020-01-11,71.27,122.47,22.01,37.4,59.39,24.91,0.82,8.13,7.31,101.1,103.64,1.01,129.0,Moderate
DL007,2019-01-26,95.46,149.92,90.03,38.61,128.64,,1.11,,21.22,0.0,0.0,0.0,206.0,Poor
DL005,2019-05-09,201.04,481.82,9.37,50.6,34.57,24.86,1.28,29.21,69.5,,148.56,,479.0,Severe
KA009,2019-10-20,17.81,,3.0,26.08,29.06,23.29,0.89,4.32,,,0.89,,62.0,Satisfactory
DL028,2019-05-07,121.45,121.45,71.37,80.67,101.06,50.24,2.52,20.57,344.41,12.71,93.08,,337.0,Very Poor
KA007,2019-03-14,41.36,119.7,2.97,23.32,14.32,6.31,0.57,4.33,62.2,0.22,1.69,,111.0,Moderate
DL032,2019-06-25,55.29,126.92,2.2,14.34,16.52,52.82,0.87,5.98,38.9,0.69,4.72,,103.0,Moderate
DL006,2019-11-06,104.94,159.37,16.34,18.95,35.3,,1.64,,29.76,,,,271.0,Poor
KA009,2015-05-08,27.08,,4.99,13.6,9.93,14.93,0.4,12.55,,,0.4,,63.0,Satisfactory
DL021,2016-07-18,60.8,,8.19,8.82,15.61,,1.11,6.78,15.13,3.58,3.7,,168.0,Moderate
DL013,2019-10-14,109.3,,13.02,51.17,37.2,47.2,0.82,23.26,,,,,293.0,Poor
PB001,2019-10-15,45.01,102.57,11.17,11.41,21.58,30.38,0.48,7.11,,3.29,4.19,2.0,104.0,Moderate
CH001,2019-10-20,53.9,111.12,10.73,5.4,11.43,6.04,0.59,11.04,18.54,4.51,0.29,2.05,105.0,Moderate
DL017,2018-12-17,136.89,250.66,49.0,36.47,85.48,,2.11,,21.9,0.0,2.53,0.0,298.0,Poor
BR009,2019-12-29,117.27,207.31,31.66,55.71,87.36,31.27,1.21,6.21,3.63,1.1,0.8,4.38,296.0,Poor
OD002,2018-04-16,110.34,217.23,18.99,34.59,51.83,7.68,4.92,64.34,31.88,0.0,0.0,,193.0,Moderate
MH007,2020-06-21,6.12,27.95,32.58,26.75,59.33,10.43,0.22,9.69,3.37,0.16,,,75.0,Satisfactory
RJ004,2019-08-13,32.86,80.19,9.13,30.61,39.72,22.08,1.11,8.97,20.82,0.49,,,74.0,Satisfactory
WB009,2020-03-28,55.9,74.33,1.43,18.59,20.04,14.4,0.44,8.96,50.97,4.63,15.29,0.91,101.0,Moderate
TG004,2018-09-03,9.11,37.69,11.31,62.4,40.09,9.24,0.52,3.63,2.27,2.4,9.96,6.71,52.0,Satisfactory
TG004,2020-04-11,24.57,46.89,21.4,36.9,32.67,5.86,0.55,10.02,28.77,3.12,23.39,0.49,46.0,Good
KA011,2020-05-17,21.29,54.34,1.01,6.74,4.41,3.98,0.78,2.02,27.75,0.3,1.03,,75.0,Satisfactory
KL008,2020-05-18,6.02,14.33,7.29,7.95,10.09,6.66,0.66,6.67,43.9,,,,69.0,Satisfactory
KA006,2018-12-30,61.62,96.66,,37.25,,10.71,0.88,8.39,23.78,0.38,,,132.0,Moderate
KA009,2019-03-25,68.32,,3.45,20.63,24.09,29.89,0.83,3.39,,,0.83,,117.0,Moderate
AP005,2019-07-06,25.58,91.73,17.5,39.32,35.15,5.7,0.7,10.14,5.42,5.97,15.23,4.13,80.0,Satisfactory
DL002,2018-01-21,189.73,391.11,52.55,155.03,338.28,77.98,2.9,33.91,60.77,5.29,21.97,,,
KA005,2020-03-13,,75.5,7.91,45.33,49.92,,1.49,9.71,,,,,97.0,Satisfactory
AP005,2019-05-04,52.61,180.09,4.74,32.12,20.93,31.66,0.86,2.49,36.58,2.56,4.47,0.95,175.0,Moderate
DL014,2019-03-28,113.26,199.84,46.34,39.23,58.45,54.5,1.94,26.82,14.89,,,,223.0,Poor
DL005,2019-03-08,120.66,265.38,9.92,31.14,24.68,34.35,0.87,29.84,47.65,,,,304.0,Very Poor
WB011,2020-03-06,48.45,105.89,25.47,39.19,64.66,43.58,0.4,16.63,25.94,7.52,12.1,,120.0,Moderate
DL005,2018-07-14,41.25,72.29,1.63,10.2,6.77,38.01,0.89,13.73,16.9,1.37,21.79,,71.0,Satisfactory
DL030,2018-05-23,134.61,238.3,293.6,141.1,434.9,,0.0,,14.43,0.0,0.0,0.0,430.0,Severe
ML001,2020-01-06,12.55,,0.63,2.12,0.98,2.16,0.28,5.17,27.36,0.42,0.31,,,
TN004,2015-07-28,54.29,,2.31,32.56,20.82,,1.23,11.2,18.32,,,,230.0,Poor
PB001,2017-05-19,42.41,99.64,11.97,15.07,,28.04,0.0,7.06,16.05,5.19,,,93.0,Satisfactory
KA005,2016-09-04,,59.38,5.64,25.67,,,0.5,3.28,,,,,77.0,Satisfactory
RJ005,2017-07-21,28.19,73.55,10.58,20.46,,25.69,0.41,5.53,27.07,2.09,2.55,,86.0,Satisfactory
TN004,2015-11-13,54.17,,4.41,11.0,16.24,,1.4,1.58,90.29,,,,126.0,Moderate
DL021,2018-10-02,105.94,,12.06,28.1,24.54,,0.63,7.97,38.46,1.61,6.77,,284.0,Poor
HR014,2020-03-01,23.34,,17.43,37.81,32.33,,1.09,2.9,71.39,2.0,5.98,,141.0,Moderate
MH008,2019-12-02,72.22,124.16,9.55,29.97,39.52,8.27,0.68,29.14,39.89,5.5,,,209.0,Poor
WB013,2020-07-01,10.5,36.5,7.78,22.5,30.25,27.23,0.58,2.8,13.1,1.31,7.39,,59.0,Satisfactory
WB013,2019-09-28,20.55,45.04,19.42,36.39,55.81,4.69,1.17,3.05,9.04,18.22,14.61,,68.0,Satisfactory
DL008,2018-06-04,56.75,228.2,11.34,31.44,25.8,36.96,0.7,7.35,5.62,0.0,,,162.0,Moderate
KA002,2019-01-22,101.4,,10.97,39.11,41.93,,0.79,4.53,61.43,6.31,9.87,,190.0,Moderate
UP016,2018-03-08,195.19,,15.51,32.18,47.67,41.16,0.9,15.29,,,,,340.0,Very Poor
DL027,2020-02-02,110.38,174.34,24.08,22.94,47.01,48.96,1.15,4.39,11.59,0.87,2.66,,244.0,Poor
TG002,2019-03-06,57.47,164.0,4.55,45.91,28.11,12.91,0.71,15.32,50.95,5.65,19.53,2.15,147.0,Moderate
TN001,2020-04-11,17.51,,4.16,22.4,15.35,,0.45,4.03,13.81,0.0,0.0,,41.0,Good
DL032,2019-12-10,332.66,471.48,124.25,38.14,153.61,147.68,2.37,3.78,14.85,2.3,14.14,,437.0,Severe
DL031,2019-05-07,100.0,397.15,137.81,80.86,168.74,30.99,2.64,10.84,26.85,,,,272.0,Poor
TN001,2020-02-12,37.86,,8.97,23.19,32.17,,0.56,6.66,4.75,0.0,0.0,,76.0,Satisfactory
DL035,2020-06-19,50.18,191.62,4.26,13.01,10.33,46.58,0.64,13.73,53.94,2.45,,,126.0,Moderate
DL020,2020-04-18,26.1,100.38,5.56,20.19,15.27,30.32,0.44,13.81,70.16,1.0,5.23,,106.0,Moderate
DL015,2018-05-31,69.62,276.08,11.16,49.29,57.42,60.17,1.65,19.57,43.91,0.26,1.06,,254.0,Poor
DL023,2018-05-30,83.32,379.27,8.63,24.45,33.18,77.11,0.56,5.89,36.63,0.34,1.98,,337.0,Very Poor
MH009,2020-02-26,51.24,167.28,6.49,53.47,59.96,13.56,0.47,31.88,76.87,6.06,,,154.0,Moderate
DL033,2019-01-24,180.51,,51.94,62.77,75.16,,0.75,10.87,18.59,2.76,13.96,,369.0,Very Poor
TG006,2016-03-31,42.73,89.56,5.27,2.75,5.28,10.31,0.78,5.99,45.71,1.16,5.21,1.2,91.0,Satisfactory
RJ004,2019-10-08,28.52,87.73,17.5,52.25,69.68,40.95,0.96,11.23,34.46,4.83,,,106.0,Moderate
MH009,2019-12-02,66.25,161.48,21.76,60.06,81.83,24.75,0.58,,45.54,8.25,,,174.0,Moderate
DL014,2019-08-23,55.82,116.26,8.69,12.31,11.06,4.8,0.89,2.05,34.65,,,,107.0,Moderate
DL017,2020-02-16,70.94,161.99,38.03,38.35,76.37,,1.28,,35.63,0.52,3.61,0.55,136.0,Moderate
DL021,2019-09-28,37.78,,11.61,23.85,20.75,,0.83,12.71,29.48,0.59,3.86,,66.0,Satisfactory
DL009,2020-03-13,56.8,172.91,8.36,30.81,23.2,25.07,0.52,17.04,59.62,1.71,17.88,,150.0,Moderate
TG006,2016-05-24,25.16,72.51,6.66,32.32,20.68,20.42,0.61,4.22,24.79,0.18,0.76,0.16,67.0,Satisfactory
DL008,2019-08-11,39.53,75.57,21.78,37.96,37.61,28.83,0.62,1.14,62.74,2.64,,,73.0,Satisfactory
DL019,2018-05-08,61.92,177.71,5.99,31.28,35.87,18.47,0.37,11.85,40.36,1.54,10.29,,227.0,Poor
DL012,2018-12-06,195.82,431.2,154.3,54.6,208.47,,0.15,,17.15,,,,376.0,Very Poor
DL005,2019-05-11,127.3,278.88,2.14,29.29,17.33,23.98,0.93,16.28,98.77,,,,303.0,Very Poor
TG004,2019-09-05,12.4,31.6,0.41,,0.0,5.81,0.41,1.77,8.42,0.0,0.0,0.0,30.0,Good
TG001,2019-07-11,25.12,57.6,4.17,29.87,19.28,23.27,0.29,15.02,17.17,0.08,1.52,0.0,60.0,Satisfactory
DL026,2019-09-01,26.81,71.95,9.75,19.95,18.53,24.08,1.01,7.51,15.75,2.28,21.35,,103.0,Moderate
WB013,2018-07-02,29.26,55.35,0.88,19.66,20.51,2.88,0.37,9.13,40.46,1.0,1.92,,62.0,Satisfactory
DL008,2020-02-12,224.13,383.46,17.78,45.31,38.32,13.72,0.95,5.94,44.64,6.28,,,377.0,Very Poor
DL012,2020-03-11,49.82,107.7,14.36,12.94,27.21,,0.19,,14.65,,,,111.0,Moderate
DL010,2019-08-01,40.36,197.06,6.64,27.61,20.1,33.73,1.05,15.6,33.42,2.35,15.71,,141.0,Moderate
UP016,2019-05-06,69.17,,11.5,17.05,14.18,15.66,1.0,6.06,,,,,137.0,Moderate
DL007,2019-06-02,80.82,220.26,,,,,0.69,,53.8,0.0,0.0,0.0,194.0,Moderate
DL037,2020-04-23,47.46,112.88,4.16,32.76,20.83,27.07,1.58,27.28,62.87,3.46,22.46,,118.0,Moderate
DL001,2018-12-20,322.01,464.68,100.45,103.84,137.0,39.19,2.05,30.89,24.87,8.43,109.62,21.92,445.0,Severe
DL030,2017-12-05,153.67,282.85,5.12,5.08,6.65,,4.05,,16.25,0.0,0.0,0.0,325.0,Very Poor
KA009,2019-09-04,28.34,,5.0,32.5,37.5,22.68,1.04,4.62,,,1.04,,76.0,Satisfactory
MH010,2019-08-02,6.15,19.45,2.7,5.26,7.96,54.1,0.29,3.69,14.71,0.05,,,25.0,Good
